Reference,Quantity,Value,Footprint,Notes
U1,1,RP2040-Zero,Adapter:Waveshare_RP2040-Zero,Waveshare 23-pin module; castellated or through-hole mounting
J3,1,Pico SWD JST-SH,Connector_JST:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,"Pin 1 SWCLK, pin 2 GND, pin 3 SWDIO"
J4,1,UART JST-SH,Connector_JST:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,"Pin 1 TX from probe, pin 2 GND, pin 3 RX to probe"
J5,1,RUN/RESET optional,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,"Pin 1 RUN/RESET direct, pin 2 GND"
R1 R2 R3 R4,4,100R,Resistor_SMD:R_0603_1608Metric,SWD and UART source termination
TP1,1,RUN,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,Optional RUN/RESET test point
